name,run,scenario,variable,mean,median,sd,mad,q5,q95,rhat,ess_bulk,ess_tail
S4,5,"PBPP3: beta(5, 5)",beta0,99.02,99.0414,0.8049,0.7539,97.7511,100.2903,1.0059,939,1081
S4,5,"PBPP3: beta(5, 5)",sigma_b,2.2994,2.2107,0.7247,0.6536,1.3226,3.5894,0.9996,1005,1209
S4,5,"PBPP3: beta(10, 10)",a0,0.0569,0.0555,0.0182,0.0174,0.0297,0.0888,1.0007,3106,1256
S4,5,"PBPP3: beta(10, 10)",sigma,3.5965,3.5849,0.2697,0.263,3.1802,4.0569,1.0017,2692,1408
S4,5,"PBPP3: beta(10, 10)",beta00,100.4288,100.4295,1.3415,1.2992,98.2295,102.5783,1.0005,3818,1364
S4,5,"PBPP3: beta(10, 10)",sigma_b0,1.1508,0.9512,0.9072,0.8016,0.0982,2.8703,1.0013,2189,1353
S4,5,"PBPP3: beta(10, 10)",beta0,98.963,98.9659,0.7868,0.7489,97.6738,100.2234,1.0037,1094,1220
S4,5,"PBPP3: beta(10, 10)",sigma_b,2.2907,2.2013,0.7028,0.6417,1.3328,3.6106,1.0033,799,1043
S4,5,"PBPP3: beta(50, 20)",a0,0.2535,0.2518,0.0351,0.0356,0.1964,0.3134,0.9995,4179,1557
S4,5,"PBPP3: beta(50, 20)",sigma,3.2969,3.2798,0.2231,0.2266,2.9539,3.6803,1.0016,2602,1760
S4,5,"PBPP3: beta(50, 20)",beta00,100.5665,100.568,0.6809,0.6709,99.4776,101.6862,1,3859,1622
S4,5,"PBPP3: beta(50, 20)",sigma_b0,0.6115,0.4928,0.5046,0.4455,0.0424,1.5953,1.0006,1262,815
S4,5,"PBPP3: beta(50, 20)",beta0,99.0433,99.0466,0.7806,0.7566,97.7595,100.3104,1.0032,805,1015
S4,5,"PBPP3: beta(50, 20)",sigma_b,2.3454,2.2599,0.6672,0.584,1.41,3.5156,1.0035,883,1132
S4,6,"PBPP3: beta(1, 1)",a0,0.0054,0.0036,0.0055,0.0038,3e-04,0.0165,0.9999,1606,832
S4,6,"PBPP3: beta(1, 1)",sigma,4.0976,4.0838,0.3015,0.2979,3.6455,4.6223,1.0006,1780,1368
S4,6,"PBPP3: beta(1, 1)",beta00,100.0396,100.053,3.2028,2.5922,95.2135,104.9512,1,2567,1039
S4,6,"PBPP3: beta(1, 1)",sigma_b0,2.2184,1.6178,2.1087,1.4873,0.1693,5.9918,1.0006,1782,914
S4,6,"PBPP3: beta(1, 1)",beta0,100.6639,100.661,0.6451,0.5953,99.6507,101.6761,1.0048,1116,911
S4,6,"PBPP3: beta(1, 1)",sigma_b,1.4738,1.4099,0.6942,0.623,0.3857,2.7076,1.0022,696,918
S4,6,"PBPP3: beta(5, 5)",a0,0.0287,0.0272,0.0132,0.0128,0.0114,0.0527,1.001,3362,1348
S4,6,"PBPP3: beta(5, 5)",sigma,4.071,4.0521,0.2854,0.2922,3.622,4.5514,1.0002,2340,1531
S4,6,"PBPP3: beta(5, 5)",beta00,100.4125,100.3995,1.927,1.7335,97.2611,103.4684,1.0048,3137,1084
S4,6,"PBPP3: beta(5, 5)",sigma_b0,1.5579,1.2442,1.2823,1.0794,0.119,4.1538,1.0007,2080,1247
S4,6,"PBPP3: beta(5, 5)",beta0,100.6487,100.6375,0.632,0.6034,99.6268,101.7121,1.0017,1693,1558
S4,6,"PBPP3: beta(5, 5)",sigma_b,1.491,1.4148,0.7233,0.6577,0.4049,2.7672,1.0038,603,604
S4,6,"PBPP3: beta(10, 10)",a0,0.0569,0.0551,0.0173,0.0165,0.0318,0.0883,0.9995,3782,1693
S4,6,"PBPP3: beta(10, 10)",sigma,4.0272,4.014,0.3046,0.3093,3.5476,4.5393,1,2145,1534
S4,6,"PBPP3: beta(10, 10)",beta00,100.5039,100.4965,1.4152,1.3657,98.1866,102.8261,1.0021,3282,1549
S4,6,"PBPP3: beta(10, 10)",sigma_b0,1.2385,1.0039,1.042,0.9361,0.0938,3.3195,1.0021,1825,1015
S4,6,"PBPP3: beta(10, 10)",beta0,100.6138,100.617,0.6156,0.616,99.633,101.6353,0.9999,1508,1509
S4,6,"PBPP3: beta(10, 10)",sigma_b,1.4991,1.4433,0.6886,0.6308,0.4691,2.705,0.9995,766,807
S4,6,"PBPP3: beta(50, 20)",a0,0.2442,0.2429,0.0326,0.0313,0.1931,0.3028,1.0011,4095,1442
S4,6,"PBPP3: beta(50, 20)",sigma,3.726,3.7115,0.245,0.2377,3.3513,4.1504,1.0046,2317,1389
S4,6,"PBPP3: beta(50, 20)",beta00,100.648,100.6475,0.7866,0.7643,99.3263,101.934,1.0016,3253,1439
S4,6,"PBPP3: beta(50, 20)",sigma_b0,0.8167,0.6558,0.6635,0.5903,0.0647,2.0947,1.0007,1479,874
S4,6,"PBPP3: beta(50, 20)",beta0,100.6545,100.6625,0.6304,0.5893,99.601,101.63,1.0001,1347,1343
S4,6,"PBPP3: beta(50, 20)",sigma_b,1.5977,1.5428,0.674,0.6151,0.5957,2.7864,1.0025,766,697
S4,7,"PBPP3: beta(1, 1)",a0,0.0055,0.0037,0.0057,0.0038,3e-04,0.0171,1.003,1573,915
S4,7,"PBPP3: beta(1, 1)",sigma,3.7423,3.7231,0.2757,0.2724,3.3235,4.2198,1.0015,2246,1403
S4,7,"PBPP3: beta(1, 1)",beta00,99.9318,99.8502,2.8629,2.3457,95.6405,104.2223,1.0025,1668,679
S4,7,"PBPP3: beta(1, 1)",sigma_b0,2.1633,1.6209,2.0068,1.4583,0.1432,5.8482,1.0005,2148,1007
S4,7,"PBPP3: beta(1, 1)",beta0,100.2826,100.298,0.5135,0.4689,99.4636,101.082,1.0005,1701,1182
S4,7,"PBPP3: beta(1, 1)",sigma_b,0.9487,0.8904,0.5822,0.5689,0.1102,1.9718,1.0049,575,698
S4,7,"PBPP3: beta(5, 5)",a0,0.0293,0.0275,0.0132,0.0126,0.0107,0.0544,1.0042,1908,1138
S4,7,"PBPP3: beta(5, 5)",sigma,3.7199,3.7002,0.2771,0.2774,3.2894,4.1869,1.0023,1825,1529
